Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Connectivity Strength,Connectivity Diversity,Central Energy,tICs Max Non-Gaussianity
8,1,"(8.0, -94.0, -30.0)",0.937,0.036,-0.222,0.028,Right,,0.597,0.977,0.573,0.03,6912324929.817829,315.0031286878468
8,2,"(0.0, -44.0, 62.0)",0.14,0.017,-0.207,0.156,Right,0.37,0.276,0.957,0.231,0.054,40023148769.67384,315.00312906333323
8,3,"(-14.0, -94.0, 32.0)",0.24,0.019,-0.185,0.107,Left,0.522,0.34,0.967,0.306,0.044,22828446132.564384,315.00313172491667
8,4,"(58.0, 16.0, -2.0)",0.217,0.034,-0.664,0.578,Right,0.402,0.261,0.974,0.235,0.059,83131683704.61462,315.0031301649528
8,5,"(-50.0, -72.0, 32.0)",0.138,0.021,-0.17,0.161,Left,0.594,0.425,0.963,0.387,0.053,17802856398.704903,315.0031321978488
8,6,"(-18.0, -28.0, -38.0)",0.214,0.099,0.205,0.603,Left,0.453,0.307,0.963,0.269,0.044,27162954719.01828,315.0031232763041
8,7,"(-46.0, -4.0, -50.0)",0.942,0.023,0.191,0.201,Left,0.401,0.323,0.982,0.305,0.029,25196816269.10546,315.0031305597494
8,8,"(0.0, -92.0, 4.0)",0.105,0.02,0.322,0.595,Left,0.49,0.29,0.974,0.263,0.046,25876031343.794144,315.00313048087315
8,9,"(-60.0, 6.0, 20.0)",0.037,0.077,0.269,0.385,Left,0.469,0.23,0.972,0.202,0.039,174871776664.3384,315.0031315822033
8,10,"(-6.0, -70.0, 54.0)",0.214,0.019,0.181,0.502,Left,0.433,0.237,0.972,0.209,0.063,46717388044.86484,315.0031312980912
8,11,"(-24.0, 32.0, 54.0)",0.265,0.015,0.355,0.829,Left,0.359,0.257,0.969,0.225,0.048,43174809694.73474,315.003131972884
8,12,"(36.0, 56.0, 20.0)",0.183,0.019,0.291,0.188,Left,0.495,0.389,0.971,0.359,0.038,50357763292.41299,315.0031291987405
8,13,"(-54.0, -58.0, -22.0)",0.343,0.019,-0.171,0.261,Left,0.471,0.405,0.972,0.377,0.039,2858310047.9161654,315.00312636316914
8,14,"(-24.0, -26.0, -48.0)",1.102,0.042,1.059,0.102,Left,0.502,0.386,0.983,0.369,0.04,5833215300.350199,315.0031033491065
8,15,"(-30.0, -58.0, 68.0)",0.657,0.023,2.155,0.86,Left,0.419,0.342,0.983,0.325,0.059,65581961352.96415,315.0031315452074
8,16,"(-12.0, -12.0, -54.0)",1.509,0.078,-0.01,0.125,Left,,0.377,0.984,0.36,0.039,2850008547.7611647,315.00301997800125
8,17,"(-6.0, -48.0, -72.0)",1.167,0.014,0.154,0.346,Left,,,0.972,,,74797592507.06725,315.0031200296902
8,18,"(-18.0, -86.0, 56.0)",1.01,0.016,-2.0,0.032,Right,0.524,0.543,0.974,0.517,0.042,1866847390.9920645,315.0005160426768
8,19,"(-38.0, -92.0, -12.0)",0.309,0.012,-0.027,0.418,Left,,0.28,0.972,0.252,0.05,7194961423.171414,315.00313114403394
8,20,"(-6.0, 4.0, 62.0)",0.088,0.015,0.37,0.632,Left,0.367,0.271,0.982,0.253,0.052,80423619398.98993,315.00313100950126
8,21,"(8.0, -64.0, -72.0)",1.153,0.098,0.051,0.178,Right,,,0.972,,,38459097443.61934,315.0031256298871
8,22,"(44.0, 38.0, 34.0)",0.052,0.023,-0.315,0.812,Right,0.384,0.255,0.97,0.224,0.039,48980904648.84267,315.0031324542434
8,23,"(12.0, -22.0, -50.0)",0.86,0.042,8.845,0.106,Right,0.25,0.373,0.979,0.351,0.04,15578820827.016388,315.00304096912816
8,24,"(-16.0, -2.0, 70.0)",0.918,0.02,1.103,0.721,Left,0.272,0.185,0.969,0.152,0.05,29635489310.947563,315.0031298848844
8,25,"(52.0, -54.0, 54.0)",0.201,0.012,-1.204,0.855,Right,0.291,0.188,0.971,0.158,0.069,42948102946.90666,315.0031331895177
8,26,"(-6.0, -6.0, -26.0)",0.456,0.084,2.982,0.266,Left,0.768,0.645,0.988,0.633,0.038,30519482409.955204,46.45301110024391
8,27,"(-6.0, -70.0, 48.0)",0.092,0.019,0.43,0.844,Left,0.471,0.294,0.975,0.268,0.074,47237135049.811806,315.0031324758452
8,28,"(30.0, 48.0, -38.0)",4.197,0.014,3.222,0.106,Right,,0.543,0.988,0.531,0.034,10515283946.834854,315.00260555846904
8,29,"(-52.0, -56.0, 48.0)",0.207,0.019,1.203,0.917,Left,0.376,0.238,0.964,0.201,0.069,35201606770.10159,315.0031338800923
8,30,"(-6.0, -32.0, 2.0)",0.219,0.098,-0.169,0.615,Left,0.384,0.233,0.977,0.209,0.039,31029198634.323444,315.0031302286837
