Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Connectivity Strength,Connectivity Diversity,Central Energy,Max tIC Non-Gaussianity
4,1,"(16.0, 50.0, 46.0)",0.473,0.097,0.38,0.284,Left,0.675,0.58,0.974,0.553,0.037,38166390823.82967,315.0031300448628
4,2,"(-28.0, -48.0, 74.0)",0.702,0.097,0.627,0.106,Left,0.664,0.608,0.974,0.581,0.036,11598906574.828411,315.00310335064364
4,3,"(2.0, -80.0, 28.0)",0.027,0.017,0.249,0.171,Right,0.56,0.505,0.964,0.468,0.036,61162189949.44445,315.0031307191587
4,4,"(0.0, -58.0, 62.0)",0.106,0.02,0.362,0.51,Right,0.576,0.418,0.971,0.389,0.051,73539495829.68932,315.0031312308676
4,5,"(-42.0, 38.0, -24.0)",0.535,0.097,0.552,0.047,Right,,0.372,0.964,0.335,0.067,27164579708.753788,315.00312850044594
4,6,"(0.0, -94.0, -18.0)",0.524,0.016,0.421,0.132,Right,0.572,0.427,0.977,0.403,0.052,23944015096.33911,315.0031248333182
4,7,"(-34.0, 60.0, 18.0)",0.162,0.09,0.494,0.575,Left,0.504,0.399,0.973,0.371,0.06,49261494267.00094,315.00313263606773
4,8,"(2.0, -94.0, -4.0)",0.034,0.02,0.444,0.105,Right,0.432,0.385,0.967,0.351,0.06,90769882446.47572,315.0031304299631
4,9,"(-62.0, -26.0, 8.0)",0.032,0.027,0.575,0.69,Left,0.449,0.378,0.977,0.355,0.037,90569390750.6248,315.0031303338065
4,10,"(28.0, -86.0, 22.0)",0.065,0.02,0.473,0.325,Right,0.509,0.345,0.968,0.312,0.058,159275009107.15607,315.003133359589
4,11,"(36.0, -88.0, -12.0)",0.123,0.033,0.306,0.361,Right,0.48,0.318,0.975,0.292,0.06,106966759353.27852,315.0031331592313
4,12,"(-12.0, -4.0, 14.0)",0.007,0.09,0.431,0.431,Right,0.569,0.533,0.97,0.502,0.048,20411580138.69869,315.0031295700268
4,13,"(8.0, 62.0, -2.0)",0.035,0.017,0.396,1.0,Right,,,0.972,,,61114511337.2845,315.0031238903578
4,14,"(-34.0, -22.0, 68.0)",0.085,0.015,0.645,0.98,Left,0.49,0.432,0.981,0.413,0.044,48005047173.76808,315.00313282067225
4,15,"(38.0, -52.0, 64.0)",0.061,0.02,0.718,1.0,Right,0.237,0.213,0.964,0.175,0.104,110812658071.97343,315.00313363457167
4,16,"(-36.0, -68.0, 54.0)",0.063,0.027,0.439,0.869,Left,0.302,0.223,0.967,0.188,0.076,176101891505.82184,315.0031329182143
4,17,"(-30.0, -90.0, 22.0)",0.054,0.02,0.615,0.501,Right,0.351,0.229,0.971,0.198,0.064,277403756493.6169,315.00313361670067
4,18,"(68.0, -40.0, -6.0)",0.065,0.027,0.927,0.938,Right,0.373,0.273,0.967,0.238,0.077,41004905733.86229,315.00313239830115
4,19,"(18.0, -88.0, -32.0)",0.612,0.014,0.814,0.541,Right,0.656,0.509,0.987,0.496,0.048,20556547829.18368,315.002604746854
4,20,"(-26.0, 64.0, -6.0)",0.15,0.027,0.503,0.4,Left,0.841,0.863,0.963,0.824,0.014,188683282400.11096,5.127847932462997
4,21,"(0.0, 58.0, 2.0)",0.143,0.029,0.457,0.531,Left,0.382,0.283,0.969,0.251,0.055,94552114900.31564,315.00313306351023
4,22,"(0.0, -44.0, -22.0)",0.102,0.018,0.572,0.151,Left,0.43,0.361,0.977,0.338,0.033,12237370153.309566,315.00313118435247
4,23,"(2.0, -38.0, -12.0)",0.066,0.026,0.575,0.542,Right,0.487,0.322,0.969,0.29,0.05,14787229455.338003,315.0031282567893
4,24,"(-10.0, -44.0, -58.0)",0.444,0.012,0.61,0.066,Right,0.66,0.598,0.972,0.569,0.041,19475303224.20029,315.0030367648767
4,25,"(-52.0, -16.0, 50.0)",0.034,0.022,0.665,0.734,Left,0.48,0.402,0.975,0.377,0.064,110845888960.10172,315.0031314488552
4,26,"(-2.0, -30.0, -54.0)",0.268,0.069,0.483,0.11,Right,,0.389,0.972,0.36,0.06,12696340385.222786,315.00306736018905
4,27,"(-46.0, -80.0, -4.0)",0.053,0.016,0.429,0.358,Right,0.445,0.276,0.975,0.25,0.066,174170568891.6025,315.00313265070525
4,28,"(-4.0, -20.0, -44.0)",0.124,0.043,0.442,0.131,Right,0.442,0.306,0.98,0.286,0.044,9716595606.913624,315.0031200951629
4,29,"(36.0, 28.0, -36.0)",0.138,0.029,0.708,0.972,Right,0.173,0.363,0.967,0.329,0.053,14584245034.959175,315.0031330449253
4,30,"(64.0, -4.0, 28.0)",0.018,0.02,0.361,0.638,Right,0.39,0.305,0.981,0.286,0.066,87847570724.48776,315.00313254380313
