Subject ID,sIC Number,sIC Center,R_o/i,Max Power Frequency,Lateralization Index,Lateralization Strength,Lateralization Side,Centeral Network,Clustering Coefficient,Characteristic Path Length,Local Efficiency,Connectivity Strength,Connectivity Diversity,Central Energy,Non-Gaussianity
10,1,"(6.0, -62.0, -4.0)",0.046,0.092,0.087,0.32,Left,0.661,0.498,0.967,1.0,0.463,0.048,60090091972.99315,315.0031313445125
10,2,"(-12.0, -22.0, 84.0)",0.743,0.084,0.038,0.013,Left,0.636,0.563,0.962,1.0,0.523,0.036,57021219461.3566,315.0031296794913
10,3,"(-30.0, -60.0, -58.0)",0.338,0.011,-0.182,0.153,Left,0.513,0.369,0.973,1.0,0.341,0.076,42365245377.1908,315.0031291351459
10,4,"(68.0, -22.0, -8.0)",0.015,0.034,-1.39,1.0,Right,0.46,0.317,0.973,1.0,0.289,0.062,39104325304.15024,315.0031328647466
10,5,"(14.0, -52.0, 6.0)",0.071,0.024,-0.158,0.601,Right,0.439,0.441,0.973,1.0,0.413,0.056,27260258891.886547,315.00313087135146
10,6,"(-2.0, -12.0, 80.0)",0.376,0.011,-0.136,0.49,Right,0.643,0.64,0.98,1.0,0.62,0.022,24263847221.259167,315.003126349916
10,7,"(8.0, -80.0, 46.0)",0.127,0.026,-0.094,0.114,Right,0.567,0.504,0.974,1.0,0.478,0.038,54536892861.78156,315.00313224383325
10,8,"(-24.0, -94.0, 16.0)",0.156,0.079,-0.187,0.097,Left,0.53,0.451,0.968,1.0,0.417,0.044,26353843766.284897,315.0031319301295
10,9,"(68.0, -28.0, 36.0)",0.101,0.01,-1.073,0.976,Right,0.466,0.346,0.976,1.0,0.321,0.071,38163829286.532936,315.0031336996057
10,10,"(64.0, 20.0, 8.0)",0.115,0.027,-0.279,0.805,Right,0.41,0.417,0.969,1.0,0.385,0.066,8724295223.419548,315.00313307603403
10,11,"(18.0, 74.0, 16.0)",0.461,0.028,-0.009,0.228,Right,0.556,0.386,0.977,1.0,0.363,0.058,7762943542.978737,315.00313163156045
10,12,"(10.0, 46.0, 44.0)",0.051,0.046,0.085,0.109,Right,0.402,0.374,0.958,1.0,0.331,0.05,42846004646.45913,315.00312616723147
10,13,"(-26.0, -56.0, -68.0)",1.633,0.043,0.3,0.038,Right,0.467,0.334,0.979,1.0,0.313,0.057,3219838877.791421,315.0031269119753
10,14,"(48.0, 60.0, -22.0)",0.787,0.044,-0.379,0.755,Right,0.389,0.336,0.974,1.0,0.309,0.097,2754340039.8193007,315.0031279501597
10,15,"(-64.0, -58.0, 22.0)",0.168,0.043,1.147,0.905,Left,0.633,0.545,0.983,1.0,0.528,0.027,18700432308.43157,315.003132972216
10,16,"(62.0, -58.0, 16.0)",0.766,0.031,-0.318,0.582,Right,0.486,0.518,0.971,1.0,0.488,0.046,21903620284.282616,315.00313276285533
10,17,"(-12.0, 0.0, -24.0)",0.158,0.079,-0.06,0.483,Left,0.527,0.452,0.976,1.0,0.428,0.042,67836541759.24332,315.0031278861971
10,18,"(-24.0, -66.0, 64.0)",0.275,0.01,0.009,0.144,Right,0.545,0.549,0.976,1.0,0.524,0.035,11221616271.911213,315.00313254944706
10,19,"(-38.0, -84.0, -16.0)",0.753,0.042,-0.23,0.128,Right,0.618,0.548,0.981,1.0,0.529,0.037,14791224700.277847,315.0031055012374
10,20,"(-20.0, -94.0, -40.0)",0.833,0.01,0.32,0.742,Left,0.542,0.429,0.976,1.0,0.405,0.045,3316529460.9281163,315.0031272186238
10,21,"(58.0, -16.0, 56.0)",1.016,0.012,-0.228,0.508,Right,0.54,0.45,0.963,1.0,0.411,0.049,5974898091.998283,315.00312867684283
10,22,"(34.0, 40.0, -28.0)",1.085,0.095,-0.196,0.298,Right,0.471,0.377,0.981,1.0,0.358,0.067,1590533792.6951106,315.003128395648
10,23,"(60.0, -18.0, -36.0)",0.434,0.012,0.13,0.179,Right,0.098,0.277,0.969,1.0,0.245,0.126,8955911456.217813,315.00313018157203
10,24,"(34.0, -60.0, 68.0)",2.014,0.042,-0.561,0.28,Right,0.63,0.595,0.95,1.0,0.542,0.031,2296623100.805503,315.0031285437309
10,25,"(-10.0, -92.0, -34.0)",0.572,0.01,0.018,0.05,Right,0.636,0.52,0.977,1.0,0.496,0.062,31469723298.244007,315.00313016757246
10,26,"(-64.0, -2.0, -6.0)",0.032,0.019,0.673,0.792,Left,0.261,0.211,0.973,1.0,0.183,0.13,11346517702.958796,315.0031311402008
10,27,"(-10.0, -32.0, -46.0)",0.407,0.044,-0.137,0.591,Right,0.516,0.376,0.97,1.0,0.345,0.043,43630938681.50664,315.00312679562626
10,28,"(-12.0, -42.0, -70.0)",3.86,0.085,1.083,0.567,Right,0.422,0.342,0.973,1.0,0.315,0.07,26999996354.690205,315.0030878111003
10,29,"(-44.0, 28.0, 44.0)",0.461,0.044,1.878,0.13,Left,0.785,0.739,0.991,1.0,0.729,0.024,4077367074.451394,213.210486177606
10,30,"(14.0, -36.0, -12.0)",0.283,0.065,0.738,0.364,Right,0.65,0.577,0.97,1.0,0.546,0.035,51311587928.99494,315.0031274881269
